final algo,Song Id,Song,name_of_song,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_skewness,spectral_constrast_mean0,spectral_constrast_mean1,spectral_constrast_mean2,spectral_constrast_mean3,spectral_constrast_mean4,spectral_constrast_mean5,spectral_constrast_mean6,spectral_contrast_std0,spectral_contrast_std1,spectral_contrast_std2,spectral_contrast_std3,spectral_contrast_std4,spectral_contrast_std5,spectral_contrast_std6,spectral_rolloff_mean,spectral_rolloff_std,spectral_rolloff_skewness,zero_crossing_rate_mean,zero_crossing_rate_std,zero_crossing_rate_skewness,tempo
Class_Ca,11,Aan Milo sajna,aan_milo_sajna.mp3,0.269042315,0.267732128,0.173111496,0.094779383,0.095310945,0.182461539,0.248610125,0.24647635,0.235975038,0.316623927,0.345251085,0.309077846,0.173094825,0.178753188,0.141460645,0.142627725,0.109066317,0.144208643,0.16757291,0.134257893,0.137220529,0.141356902,0.186528235,0.163459168,-168.4521092,142.0756158,-96.5149866,62.12244149,-25.39212689,-11.6966486,-5.292673008,-14.31459984,-2.330981227,-17.98119044,-7.990508595,-6.332839133,-3.753562649,49.20254531,23.82996358,17.38100998,19.62405896,13.83286104,11.3047288,9.218959393,11.13615358,8.526009263,8.467189932,9.083003405,9.368951679,12.04544359,1898.553347,384.7987522,-0.474288703,29.82502153,16.91762094,24.16078523,24.30662262,23.20465314,29.00114347,36.3752142,5.042872174,5.163188182,6.022925667,4.528936581,4.493078279,3.537707036,3.882105422,3283.563478,505.3526344,-1.146898615,0.123246609,0.055570258,0.306883212,198.7680288
Class_Ca,12,"Aankhen teri, itni haseen",aankhen_teri_itni_haseen.mp3,0.269778999,0.275947026,0.172240298,0.139905688,0.16749748,0.251880565,0.283443262,0.34084027,0.341333422,0.266522332,0.184188462,0.169055197,0.149491683,0.149087432,0.1283948,0.155176433,0.125183789,0.169005544,0.187114,0.141139114,0.181936901,0.131292226,0.128770567,0.112013533,-130.5832841,97.87158393,-3.337938482,19.16757071,2.008126542,5.505025171,-4.978323819,6.680082986,-11.02707735,12.41204913,-6.745875673,6.28770694,-0.328536223,33.44125656,19.66102724,11.57785305,11.77196698,9.783487165,9.416246814,9.380482573,8.444199975,8.078905536,11.01600106,10.10019532,6.251690585,7.063345789,2229.129748,463.859425,0.524571599,21.52468074,21.48636869,22.74406049,23.23035274,24.07232297,22.68687208,37.09665043,5.114975697,4.54118595,4.08688783,3.527783355,4.139223086,3.318174043,3.020227542,4966.349136,1211.289629,-0.042188903,0.080176008,0.032368189,0.222765063,123.046875
Class_Sa,13,Aaoge jb tum,aaoge_jb_tum.mp3,0.191085448,0.179836278,0.220039809,0.161592824,0.138952553,0.173435222,0.330136182,0.366167797,0.316454606,0.241366079,0.203406073,0.224219298,0.159040719,0.12430136,0.177532148,0.142154829,0.152729277,0.148588798,0.168235692,0.198044669,0.131459792,0.19888806,0.153226377,0.168502342,-200.6829754,94.81239136,22.22666655,20.73728562,-3.908764278,9.260113627,0.360944315,6.592149756,-9.500909941,-0.710194687,-11.35390579,-3.440322594,-2.251144081,52.85666714,20.36992702,19.87928462,14.4990457,11.80303155,11.34375704,12.94446152,14.60913837,12.62351663,10.41200141,12.9835287,9.820755044,9.708583789,2180.283128,545.0814772,0.992423681,31.31905056,22.46508653,27.46309524,28.09435274,23.83663809,20.48273202,34.6793598,5.774958761,4.765614142,4.772952269,5.171551555,3.860165012,2.84169222,2.952191902,5149.906359,1407.668223,-0.087146057,0.063437069,0.02145836,0.320449371,123.046875
Class_Ca,14,aapki Kashish,aapki_kashish.mp3,0.161285569,0.186611988,0.316956376,0.401776442,0.336643525,0.225156386,0.196214847,0.24552856,0.285840958,0.241839565,0.221905109,0.20029432,0.097482317,0.128213139,0.113630693,0.143278107,0.132571488,0.13347598,0.127817617,0.123818722,0.142906721,0.111353527,0.104645331,0.121257389,-99.33951878,74.73880446,-16.64291769,28.66376641,-11.53935259,11.37699743,-9.921240314,2.955053319,-12.08771539,6.866631454,-3.646919987,-0.908110778,-6.143428863,57.61611057,26.65555935,26.44454689,21.19046073,15.0076693,13.63388987,12.21415519,10.0139502,10.39213376,11.15831934,11.11514427,13.06479236,10.60396677,2613.132652,669.2627954,0.273383117,24.02659992,18.68194174,23.76763043,22.26101988,21.13215369,19.39903124,41.1598879,7.518262498,4.733381975,5.37536257,4.250949958,3.814592079,3.133247411,5.677051935,5296.655472,1223.605163,-0.103039344,0.100862202,0.047531525,0.823645452,112.3471467
Class_Ca,15,Aayat ,aayat_.mp3,0.160753254,0.22947595,0.300774152,0.263728565,0.229820768,0.289076604,0.324209114,0.222117547,0.194443072,0.26669205,0.249224134,0.205460436,0.116132208,0.116177002,0.140285264,0.124052838,0.154755104,0.162333514,0.183547572,0.148537352,0.13234533,0.162398874,0.143524707,0.157467633,-52.85663924,82.61587216,8.46497291,19.25794907,8.030372216,9.501641468,-8.162389655,10.414563,-7.487211908,9.295684009,1.041053481,1.378545304,-5.165359113,57.06980462,23.45188507,18.00342198,13.28468924,15.09154927,10.2493949,12.93227376,10.62133396,10.03325242,11.19112355,11.11716727,8.482965867,9.643688727,2532.38656,628.4069945,0.181508489,27.3447551,19.05487899,24.81319579,23.58238105,23.63938695,23.39378729,36.83348707,5.820203875,4.908216866,4.559618548,4.168195579,4.246747766,3.973823401,3.515219394,5913.86424,1346.455567,-1.109614523,0.084960749,0.044040096,0.69660933,184.5703125
Class_Ha,16,Abhi kuch dino se,abhi_kuch_dino_se.mp3,0.274785939,0.238465457,0.183667975,0.200172441,0.276173089,0.303506044,0.236590576,0.193591113,0.220113124,0.261605845,0.222942019,0.239436134,0.18169206,0.145660714,0.17758032,0.135318828,0.169050092,0.148474025,0.148132926,0.159237069,0.1417149,0.189448041,0.176041161,0.138210751,-73.62514502,89.68867474,29.83212425,28.35930329,2.564504714,16.29720376,-0.444933669,1.150628816,-3.610497396,5.25167563,-7.802602181,-0.068716281,-4.779769233,73.44599132,25.39458002,15.91863261,12.99802821,12.65683687,9.11711982,8.951841352,8.676612716,9.485151416,9.06267423,7.965091559,8.149471105,8.941332009,2239.823279,712.9388732,0.898288597,31.52563477,20.89473681,26.68685939,25.01400753,23.63958908,21.17266074,35.66760906,5.66064869,4.522335991,5.344812426,5.129706528,4.845901246,4.248916634,3.459014567,5377.275818,1514.032388,-0.713494686,0.055204315,0.023412942,1.185055481,95.703125
Class_Ca,17,Abhi na jao chod k,abhi_na_jao_chod_k.mp3,0.254007272,0.1981389,0.213278928,0.237545992,0.191746136,0.181567376,0.229656146,0.464018321,0.479796927,0.280223566,0.225943354,0.243214583,0.039526436,0.065397485,0.060359911,0.061528623,0.079684972,0.057907886,0.045216022,0.067667508,0.056152241,0.049576675,0.035791054,0.03311181,-297.4224814,50.58326792,-53.33938296,46.43404496,22.74178116,25.48664765,32.97473258,28.36977164,8.943511216,11.21125489,6.357399452,7.541397867,7.402258277,55.2662778,21.46416206,24.2377103,19.78299199,15.13726205,13.68484129,12.2125126,10.89132379,10.08607142,10.41608531,8.3646121,8.564167259,7.459224171,1690.58564,314.6510066,1.458827956,29.24339883,23.87412373,23.31769382,19.36568963,17.79839039,20.21850504,36.03482725,3.299340178,6.030227687,4.840004385,3.687483611,3.003232549,3.381789871,3.221672514,3501.470494,283.5351481,-1.151531293,0.006658312,0.029735095,4.525300455,135.9991776
Class_Ha,18,Aditi ,aditi_.mp3,0.211194817,0.215723833,0.226557413,0.280389045,0.222967174,0.163464003,0.175781881,0.286005792,0.357479599,0.297189988,0.264908778,0.247669376,0.13095322,0.181837182,0.12588265,0.144737572,0.136880846,0.133363622,0.152415492,0.121927502,0.17221695,0.116778782,0.140293946,0.132452474,-84.01778558,86.91773602,0.990983248,23.67049491,5.320051567,-1.035131155,-7.311541071,4.087732116,-11.19210011,5.327950095,-7.01853049,-0.553820194,-8.086426963,66.20517972,34.016593,21.64012129,17.84340332,12.03975966,10.73218575,10.85244471,10.57370975,10.12474377,9.117858118,8.821538402,8.368383481,8.042823124,2563.70308,954.6947349,0.83395682,25.02741627,21.97714819,24.48217215,24.07300383,23.28461574,21.65422078,35.8770636,6.550118027,5.041748069,4.482193503,4.328196066,4.17022372,3.627098845,3.361074028,5481.529354,1990.729754,0.01708472,0.08036157,0.032514123,1.941192171,99.38401442
Class_Ha,19,Ae jindgi gle lga le,ae_jindgi_gle_lga_le.mp3,0.165679992,0.284498604,0.324813461,0.242511857,0.209762667,0.206492486,0.165219228,0.159319011,0.280491326,0.370124657,0.267102409,0.125623396,0.148948082,0.159486693,0.205056831,0.142797464,0.137079623,0.163110016,0.118037209,0.136066049,0.153995333,0.170522531,0.165013391,0.131367924,-114.9876876,112.5466594,-32.60881126,46.33586137,-16.53488729,28.00542914,-23.53669277,20.5614395,-21.38548742,6.593192588,-17.27855948,6.27940809,-9.213783013,71.37476248,32.65218223,16.72222275,17.52915856,16.66390572,13.80391124,12.45733828,10.77283831,11.5327651,12.14389911,10.88345842,8.987084499,10.32063831,2125.541666,676.3731173,-0.207085069,22.34049686,21.14057177,24.81964761,23.26556517,24.64937711,23.54952725,56.51599606,5.619416799,5.013530662,5.159989461,4.484920665,3.745173521,4.416473035,6.089127771,4447.202275,1442.120866,-0.471167263,0.099122983,0.05377894,0.724120006,172.265625
Class_Ca,20,Agar tum sath ho,agar_tum_sath_ho.mp3,0.148304419,0.129365621,0.265652575,0.344844243,0.228958863,0.142993658,0.267322415,0.330457619,0.279021507,0.221192299,0.248181684,0.211973682,0.123866988,0.099436055,0.142104726,0.193875277,0.159547184,0.114741326,0.205982269,0.189041723,0.167528362,0.140785388,0.14361663,0.128966332,-120.9014006,117.1034028,7.653796941,24.60853277,1.556519615,8.269678588,5.668920975,4.697572698,4.103678584,8.079529877,3.582819977,14.07630858,4.006330928,63.40887152,30.13810969,25.14446263,17.49021088,11.0203276,13.58625426,12.29217532,11.70498733,10.86316713,13.78418929,13.64368379,11.93408418,12.68034024,1562.407781,684.8846772,1.658401928,29.5027585,21.3093043,29.22206025,28.37048925,25.47393341,24.46718286,37.98519596,5.404143304,5.515960501,4.605601961,4.367759919,4.248173112,4.132611765,6.455686199,3192.447362,1636.564493,0.737748556,0.049062628,0.029070014,1.104632253,123.046875
Class_Ha,21,Aisa des hai mera,aisa_des_hai_mera.mp3,0.343351254,0.252732832,0.186427094,0.170170428,0.198610674,0.230193041,0.162234956,0.149193037,0.215655291,0.345563169,0.395839597,0.370466176,0.110988297,0.099440343,0.118368002,0.104905451,0.131319884,0.145949292,0.105809195,0.11669856,0.128578884,0.091250131,0.098364809,0.092390552,-93.99438094,88.06171078,8.359194012,14.69944627,7.418007697,-2.696587527,0.701797229,-1.508241787,-7.341783808,7.112003197,-3.484593804,1.816513155,2.867135216,47.50200716,26.5643461,19.79549114,16.60480595,13.87123305,11.22445709,13.21851437,8.946247582,8.931097026,8.57401006,10.03682243,8.551066848,9.104159126,2617.394427,908.8176363,1.513960578,21.98729489,18.6366743,22.96130964,22.89319186,21.71290438,23.40633796,34.8994031,5.898819152,4.768273108,5.005795087,3.90805472,3.794169077,5.048048582,2.983558006,5719.740414,1868.807289,0.149195577,0.078790529,0.029004659,0.968578938,83.35433468
Class_Ex,22,Akhiyon se goli maare,akhiyon_se_goli_maare.mp3,0.274267131,0.259188908,0.228825378,0.22228904,0.218817929,0.173284215,0.183330486,0.256346695,0.340162931,0.392532645,0.376855768,0.332582917,0.076980065,0.082351751,0.078097036,0.062894128,0.066938903,0.068496646,0.055527523,0.062610891,0.074471277,0.074497432,0.049669206,0.060555366,-92.86733878,37.99618173,-10.45448982,27.29524297,2.211012871,11.16768071,0.086644386,13.728793,-3.807965769,7.396768538,0.714856322,5.870877117,2.655870872,47.28526831,18.35971376,18.53633159,16.58211777,10.96432598,11.99003508,10.18880602,9.644361771,7.993960677,8.255199247,8.918098075,6.992365692,7.336311082,3531.827188,562.1580137,0.504312975,27.07490231,17.48205383,21.18043108,19.31660077,18.69440873,17.76723559,33.98327541,6.195189365,4.981730331,4.645940269,4.05601154,3.470310867,2.615880387,2.565839884,6839.096145,898.6679198,-0.31814737,0.166790942,0.057104037,0.506409796,107.6660156
Class_Ex,23,All is well,all_is_well.mp3,0.213453802,0.218710929,0.199600442,0.227541318,0.264793139,0.336393203,0.36521297,0.28755593,0.25688152,0.25366334,0.228751203,0.213689544,0.096866004,0.113488238,0.151800997,0.11863647,0.130597484,0.106741299,0.108406309,0.09900097,0.125945277,0.155950721,0.129907932,0.144489309,-138.8101601,78.0035565,-9.594195825,16.00536123,2.314036838,1.262166456,-2.886038698,4.308846334,-2.284053552,7.927813824,-0.301908682,2.774502568,-3.379857516,72.30822841,24.00130869,22.17715525,15.76359357,11.72142301,11.14897937,10.63784991,9.640324443,9.571942923,11.05196839,8.048653265,8.517527635,7.804877794,2584.367125,653.7665491,1.572321369,24.7599845,20.04484997,25.20659152,22.80998934,23.62729743,22.83303376,35.50734848,5.702350989,4.951408598,5.416894723,4.589809173,3.9338946,3.005923049,2.690036518,5417.879739,1299.380518,0.46172786,0.106748032,0.051739377,1.47918062,123.046875
Class_Ex,24,Ashiq banaya,ashiq_banaya.mp3,0.178854547,0.142736766,0.13741964,0.056044647,0.046535962,0.146285491,0.311375474,0.324769877,0.311576698,0.283932016,0.295967583,0.258597817,0.159002277,0.103924593,0.112141871,0.071129448,0.071502437,0.178841785,0.24795128,0.226935522,0.182142196,0.229900593,0.181045201,0.211774919,-51.32498261,97.91661388,19.78753887,17.66774137,4.192270898,7.486449552,5.647885456,8.889674433,1.321330652,10.49164667,-0.15732235,5.779394672,2.863525441,42.67557592,22.60175082,17.75263966,14.87989054,14.67209464,12.97857996,8.87249998,9.381495776,9.207281886,9.091798398,10.1237519,7.634648192,7.402322575,2182.534589,660.0985682,1.40515203,28.37463302,22.77116975,26.00050932,23.4850187,21.20556165,19.88218094,34.18936438,5.168138677,4.967400837,5.196926655,4.36417039,4.04853961,3.936221589,3.323897999,5210.914324,1535.501143,0.109204723,0.040782066,0.021880292,1.078268338,103.359375
Class_Ca,25,Atrangi Yaara,atrangi_yaara.mp3,0.254446909,0.210205466,0.185661755,0.178672493,0.199770995,0.268153507,0.27101604,0.26861902,0.207930538,0.238732525,0.298310919,0.278733018,0.217780026,0.155279256,0.149771974,0.128769627,0.11665513,0.165699475,0.116384478,0.170065119,0.141638227,0.178688309,0.182879804,0.144307436,-162.4797767,87.9713219,3.553387936,20.44580637,-0.644203377,1.496172244,-11.36007462,-1.06656881,-8.314511063,-7.939476849,-7.029846945,-0.013287603,-4.878474982,56.7710877,18.80784863,15.68979308,13.19895104,13.39263403,10.97439926,12.7038666,9.80091285,8.914915112,10.02728738,11.038329,9.856091624,8.468926285,2343.082133,522.8344041,0.626740838,32.54486517,21.89750929,26.43508014,23.95207672,23.66838732,22.13825775,34.19951291,6.311121421,5.165017411,5.618042436,4.472416063,3.950076074,3.860766444,2.832052357,5280.872234,1229.604197,0.034768867,0.071317974,0.025406943,0.920377087,95.703125
